What helped you to decide signing up for the program?
A greek coach
Website
Former Alumni(s)
Social Media Post(s)
"Website, Social Media Post(s), Phone Call Interview"
"Website, Social Media Post(s), Phone Call Interview"
"Social Media Post(s), Phone Call Interview"
"Website, Social Media Post(s), Video Call Interview"
"Former Alumni(s), Congress from previous generations"
Website
Social Media Post(s)
"Website, Social Media Post(s), Former Alumni(s), Phone Call Interview, Video Call Interview"
Video Content from previous generations
"Social Media Post(s), Video Content from previous generations, Congress from previous generations, Phone Call Interview"
Social Media Post(s)
Social Media Post(s)
Phone Call Interview
Congress from previous generations
Social Media Post(s)
"Website, Social Media Post(s), Former Alumni(s), Video Content from previous generations"
"Website, Phone Call Interview"
"Website, Social Media Post(s), Former Alumni(s), Video Content from previous generations"
"Website, Video Content from previous generations"
"Website, Phone Call Interview, Video Call Interview"
"Website, Social Media Post(s), Video Content from previous generations, Congress from previous generations, Video Call Interview"
"Social Media Post(s), Video Content from previous generations"
Phone Call Interview
"Former Alumni(s), Phone Call Interview, Emails"
Advice from coach Sergio Scariolo
"Website, Social Media Post(s)"
Former Alumni(s)
Social Media Post(s)
Website
Former Alumni(s)
"Former Alumni(s), Congress from previous generations"
Phone Call Interview
"Website, Congress from previous generations, Phone Call Interview"
Website
Former Alumni(s)
Website
"Website, Video Content from previous generations, "
"Website, Former Alumni(s)"
"Website, Social Media Post(s)"
"Website, Social Media Post(s), Former Alumni(s), Video Content from previous generations, Congress from previous generations"
Former Alumni(s)
Social Media Post(s)
Congress from previous generations
"Website, Social Media Post(s), Former Alumni(s), Congress from previous generations, Phone Call Interview, Video Call Interview"
"Phone Call Interview, Advice of highly rated coach of pro team"
Former Alumni(s)
Phone Call Interview
Former Alumni(s)
Congress from previous generations
"Former Alumni(s), Phone Call Interview"
"Video Content from previous generations, Congress from previous generations, Phone Call Interview"
"Website, Social Media Post(s)"
"Website, Social Media Post(s), Video Content from previous generations"
Former Alumni(s)
"Website, Social Media Post(s), Video Content from previous generations"
"Social Media Post(s), Video Content from previous generations"
Website
Website
Former Alumni(s)
Social Media Post(s)
"Website, Social Media Post(s)"
"Website, Social Media Post(s), Former Alumni(s)"
"Website, Social Media Post(s)"
Former Alumni(s)
"Social Media Post(s), Video Content from previous generations, Congress from previous generations"
"Website, Video Content from previous generations"
Website
Congress from previous generations
"Social Media Post(s), Phone Call Interview"
"Website, Social Media Post(s), Video Content from previous generations"
"Website, Video Content from previous generations, Most important for me was related to information about the program, the content of the course and the coaches and professor's background  "
"Website, Social Media Post(s), Phone Call Interview, Video Call Interview"
Phone Call Interview
Former Alumni(s)
Phone Call Interview
Former Alumni(s)
Website
Congress from previous generations
Social Media Post(s)
"Website, Former Alumni(s)"
"Website, the need of good basketball education"
Social Media Post(s)
Website
Friends 
"Website, Former Alumni(s), Phone Call Interview"
"Social Media Post(s), Phone Call Interview"
"Social Media Post(s), from MR basketball page(mohamad rahimy) "
Website
"Website, Social Media Post(s), Video Content from previous generations, Congress from previous generations"
"Social Media Post(s), Former Alumni(s)"
"Former Alumni(s), lifetime situation finally allowed it"
Congress from previous generations
"Social Media Post(s), Congress from previous generations"
"Website, Phone Call Interview"
Former Alumni(s)
Social Media Post(s)
"Website, Social Media Post(s)"
Social Media Post(s)
"Social Media Post(s), Video Content from previous generations"
"Video Content from previous generations, Congress from previous generations"
"Website, Video Content from previous generations, Congress from previous generations"
Website
